Year,Area harvested,Production,Yield
1961,375000,2719000,72507
1962,365000,2447000,67041
1963,413000,3365000,81477
1964,415000,2593000,62482
1965,429000,3605000,84033
1966,479000,4076000,85094
1967,473300,3521500,74403
1968,501400,4232300,84410
1969,524400,4725500,90113
1970,496000,3912600,78883
1971,481900,4807200,99755
1972,491900,4825500,98099
1973,504600,4451000,88208
1974,543400,4861100,89457
1975,587400,6225400,105982
1976,622400,7306000,117384
1977,619600,7170700,115731
1978,665300,8135400,122282
1979,807100,10133000,125548
1980,685200,8326600,121521
1981,732000,9670000,132104
1982,762700,9911800,129957
1983,735000,9956000,135456
1984,794300,12151800,152988
1985,849000,12570600,148064
1986,843000,10422800,123639
1987,831500,12740300,153221
1988,885100,14046000,158694
1989,932700,14857000,159290
1990,940000,14770800,157136
1991,935500,15205600,162540
1992,1135100,18195000,160294
1993,1240000,18479000,149024
1994,1047100,17392400,166101
1995,1069400,17401300,162720
1996,1109000,18843300,169913
1997,1248800,24215900,193913
1998,1208900,17652300,146020
1999,1280200,22494700,175712
2000,1340900,25000100,186443
2001,1211300,22242700,183627
2002,1259500,24456100,194173
2003,1337200,23161400,173208
2004,1484700,27925800,188091
2005,1523900,28787700,188908
2006,1569200,29174600,185920
2007,1742800,28599600,164101
2008,1796000,34658000,192973
2009,1828300,34390900,188103
2010,1835300,36577300,199299
2011,1863200,42339400,227240
2012,1907000,41483000,217530
2013,1992200,45343600,227606
2014,2024000,46395000,229224
2015,2076000,48009000,231257
2016,2117000,43417000,205087
2017,2179000,48605000,223061
2018,2142000,51310000,239542
2019,2173000,50190000,230971
2020,2158000,51300000,237720
